System,Domain,Task,Authors,Notability criteria,Notability criteria notes,Open-source,Link,Citations,Reference,Publication date,Organization,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Inference compute (FLOP),Inference compute notes,Training time (hours),Training time notes,Training hardware,Approach,Training compute cost (2020 USD),Compute cost notes,Compute sponsor categorization,Confidence,Abstract,Last modified,Created By,Benchmark data,Exclude,Country (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Hardware quantity,Hardware utilization,Training cost trends,Training cloud compute vendor,Training data center,Archived links,Batch size,Batch size notes,Organization categorization,Foundation model,Training compute lower bound,Training compute upper bound,Training chip-hours
AlphaCode,Language,Code generation,"Yujia Li, David Choi, Junyoung Chung, Nate Kushman, Julian Schrittwieser, Rémi Leblond, Tom Eccles, James Keeling, Felix Gimeno, Agustin Dal Lago, Thomas Hubert, Peter Choy, Cyprien de Masson d'Autume, Igor Babuschkin, Xinyun Chen, Po-Sen Huang, Johannes Welbl, Sven Gowal, Alexey Cherepanov, James Molloy, Daniel J. Mankowitz, Esme Sutherland Robson, Pushmeet Kohli, Nando de Freitas, Koray Kavukcuoglu, Oriol Vinyals",SOTA improvement,,,https://arxiv.org/abs/2203.07814,642.00,Competition-Level Code Generation with AlphaCode,2022-02-02,DeepMind,41100000000.00,41.1B. Table 3,1.568160000001e+23,"Figure 7 (a) shows a maximum training compute budget of approx 20000 TPU-days per model.
20000 days * 275 TFLOPS * 0.33 utilization = 1.6e23 FLOP
https://www.wolframalpha.com/input?i=20000+*+275+teraFLOPS+*+1+day+*+0.33",,,,Appendix part A has answers for pretraining.,,,,,,"Google TPU v4,Google TPU v4i",Self-supervised learning,,,Industry,,"Programming is a powerful and ubiquitous problem-solving tool. Developing systems that can assist programmers or even generate programs independently could make programming more productive and
accessible, yet so far incorporating innovations in AI has proven challenging. Recent large-scale language models have demonstrated an impressive ability to generate code, and are now able to complete
simple programming tasks. However, these models still perform poorly when evaluated on more complex, unseen problems that require problem-solving skills beyond simply translating instructions into
code. For example, competitive programming problems which require an understanding of algorithms
and complex natural language remain extremely challenging. To address this gap, we introduce AlphaCode, a system for code generation that can create novel solutions to these problems that require deeper
reasoning. In simulated evaluations on recent programming competitions on the Codeforces platform,
AlphaCode achieved on average a ranking of top 54.3% in competitions with more than 5,000 participants. We found that three key components were critical to achieve good and reliable performance:
(1) an extensive and clean competitive programming dataset for training and evaluation, (2) large and
efficient-to-sample transformer-based architectures, and (3) large-scale model sampling to explore the
search space, followed by filtering based on program behavior to a small set of submissions.
",2024-03-01 09:25,Robi Rahman,,0,United Kingdom of Great Britain and Northern Ireland,,,,3750,,AlphaCode,,,,4718592,"2304 token sequences, 2048 batch size. 2304 * 2048 = 4718592

trained on 967B tokens and 205k steps. 967B/205k = 4717073, so seems they didn't do warmup",Industry,checked,,,0
DARK,Biology,"Protein generation,Proteins","Lewis Moffat, Shaun M. Kandathil, David T. Jones",,,,https://www.biorxiv.org/content/10.1101/2022.01.27.478087v1.full,25.00,Design in the DARK: Learning Deep Generative Models for De Novo Protein Design,2022-01-28,University College London (UCL),,"""DARK3, uses a Transformer decoder with 12 layers, 12 heads, and a feedforward dimension of 768.""",9700000000000000000.00,"""Rounding up to the nearest day, if we were to re-perform DARK from nothing to having a trained DARK3 it would take 12 days when parallelized across ten V100 GPUS. Of that time, model training constitutes just over 3 days and only requires 1 GPU""

3 * 24 * 3600 * 125 teraFLOP/s * 0.3 (utilization) = 9.7e18",,"Iteratively trained by generating synthetic data: ""To build this tool we develop a framework, called DARK, that trains the underlying generative model on an iteratively expanding set of synthetic sequences""",,,,,,,,NVIDIA V100,Unsupervised,,,,Speculative,"The design of novel protein sequences is providing paths towards the development of novel therapeutics and materials. At the forefront is the challenging field of de novo protein design, which looks to design protein sequences unlike those found in nature using general design methodologies. In this work, we develop a tool for de novo design, based on a deep generative sequence model, that rapidly samples novel protein sequences with diverse and ordered structures. To build this tool we develop a framework, called DARK, that trains the underlying generative model on an iteratively expanding set of synthetic sequences. The resulting model generalizes where models trained on natural sequences struggle and greatly improves on the efficiency of comparable sampling-based approaches. We further show how it can generate high quality candidates for de novo design problems and aid in the development of further novel design methods, in all, providing another step, amongst others, towards truly automated and intelligent protein design.",2024-03-01 09:09,Anonymous,,,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,Academia,,,,0
InstructGPT,Language,,"Long Ouyang, Pamela Mishkin, Jeff Wu, Xu Jiang, Diogo Almeida, Carroll L. Wainwright,John Schulman Amanda Askell, Fraser Kelton Peter Welinder, Luke Miller Maddie Simens Paul Christiano,Ryan Lowe,Chong Zhang Jacob Hilton, Sandhini Agarwal Katarina Slama Alex Ray, Jan Leike","Historical significance,Highly cited",,,https://cdn.openai.com/papers/Training_language_models_to_follow_instructions_with_human_feedback.pdf,4890.00,Training language models to follow instructions with human feedback,2022-01-27,OpenAI,175000000000.00,"""We train three model sizes (1.3B, 6B, and 175B parameters)""",,,,,374000033207,"Table 6 - describes **number of prompts**

26584 + 6623 = 33207

This is added to GPT-3 dataset size.",,,,,,,Self-supervised learning,,,Industry,,,2024-03-01 09:19,Robi Rahman,,,United States of America,,,,,,,,,,,,Industry,checked,,,0
Primer,Language,,"DavidR.So, WojciechMan ́ke, HanxiaoLiu, ZihangDai, NoamShazeer, QuocV.Le",,,,https://arxiv.org/abs/2109.08668,106.00,Primer: Searching for Efficient Transformers for Language Modeling,2022-01-24,Google Brain,1900000000.00,"""For instance, in a 1.9B parameter configuration similar to GPT-3 XL, Primer uses 1/3 of the training compute to achieve the same one-shot performance as Transformer""",7.1e+21,"From the email they claim to have use 72K TPUv4 hours for training

Thus: 
72000 h * 0.1 * 275e12 FLOP/s 3600s/h = 7.1e21 FLOP",C4,,173284750600,"In GB - TODO convert to words

""Dataset size: 806.92 GiB""
https://www.tensorflow.org/datasets/catalog/c4

This was the largest dataset that the authors used 
""These benefits are robust and hold across model sizes (20M
to 1.9B parameters), across compute scales (10 to 105
accelerator hours), across datasets (LM1B,
C4, PG19 [22])""

802.92 GiB ~ 866.42 GB
1 GB ~ 200M words",,,,,,,,$9690.72,,Industry,,"Large Transformer models have been central to recent advances in natural language processing. The training and inference costs of these models, however, have grown rapidly and become prohibitively expensive. Here we aim to reduce the costs of Transformers by searching for a more efficient variant. Compared to previous approaches, our search is performed at a lower level, over the primitives that define a Transformer TensorFlow program. We identify an architecture, named Primer, that has a smaller training cost than the original Transformer and other variants for auto-regressive language modeling. Primer's improvements can be mostly attributed to two simple modifications: squaring ReLU activations and adding a depthwise convolution layer after each Q, K, and V projection in self-attention. Experiments show Primer's gains over Transformer increase as compute scale grows and follow a power law with respect to quality at optimal model sizes. We also verify empirically that Primer can be dropped into different codebases to significantly speed up training without additional tuning. For example, at a 500M parameter size, Primer improves the original T5 architecture on C4 auto-regressive language modeling, reducing the training cost by 4X. Furthermore, the reduced training cost means Primer needs much less compute to reach a target one-shot performance. For instance, in a 1.9B parameter configuration similar to GPT-3 XL, Primer uses 1/3 of the training compute to achieve the same one-shot performance as Transformer. We open source our models and several comparisons in T5 to help with reproducibility.",2024-03-01 09:13,Robi Rahman,,,Multinational,,,,,,,,,,,,Industry,,,,0
SPALM + RelationLM,Language,,"Qi Liu, Dani Yogatama, Phil Blunsom",,,,https://arxiv.org/abs/2201.09680,23.00,Relational Memory-Augmented Language Models,2022-01-24,"DeepMind,University of Oxford",124000000.00,,,,WikiText-103,,,,,,,,,,,,,,,,2024-03-05 10:08,Robi Rahman,SPALM + RelationLM,,"United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland",,,,,,,,,,,,"Industry,Academia",,,,0
TransformerXL+RelationLM,Language,,"Qi Liu, Dani Yogatama, Phil Blunsom",,,,https://arxiv.org/abs/2201.09680,23.00,Relational Memory-Augmented Language Models,2022-01-24,"DeepMind,University of Oxford",124000000.00,,3.2e+21,,WikiText-103,,,,,,,,,,,,,,,,2024-03-05 10:09,Robi Rahman,TransformerXL+RelationLM,,"United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland",,,,,,,,,,,,"Industry,Academia",,,,0
OntoProtein,"Biology,Language",Proteins,"Ningyu Zhang, Zhen Bi, Xiaozhuan Liang, Siyuan Cheng, Shumin Deng, Qiang Zhang, Jiazhang Lian, Huajun Chen, Haosen Hong",SOTA improvement,Experimental results show that OntoProtein can surpass state-of-the-art methods with pre-trained protein language models in TAPE benchmark and yield better performance compared with baselines in protein-protein interaction and protein function prediction1.,,https://openreview.net/pdf?id=yfe1VMYAXa4,,ONTOPROTEIN: PROTEIN PRETRAINING WITH GENE ONTOLOGY EMBEDDING,2022-01-23,Zhejiang University,420000000.00,"""For the protein encoder, we use the pre-trained ProtBert from Elnaggar et al. (2020).""",,,ProteinKG25,"""the ProteinKG25 dataset used for pre-training contains about 612,483 entities and 4,990,097 triples, aligned with GO annotations and including protein sequences.""",,,,,,,,,,,,,,"Self-supervised protein language models have proved their effectiveness in learn- ing the proteins representations. With the increasing computational power, cur- rent protein language models pre-trained with millions of diverse sequences can advance the parameter scale from million-level to billion-level and achieve re- markable improvement. However, those prevailing approaches rarely consider incorporating knowledge graphs (KGs), which can provide rich structured knowl- edge facts for better protein representations. We argue that informative biology knowledge in KGs can enhance protein representation with external knowledge. In this work, we propose OntoProtein, the first general framework that makes use of structure in GO (Gene Ontology) into protein pre-training models. We construct a novel large-scale knowledge graph that consists of GO and its related proteins, and gene annotation texts or protein sequences describe all nodes in the graph. We propose novel contrastive learning with knowledge-aware negative sampling to jointly optimize the knowledge graph and protein embedding during pre-training. Experimental results show that OntoProtein can surpass state-of-the-art methods with pre-trained protein language models in TAPE benchmark and yield better performance compared with baselines in protein-protein interaction and protein function prediction1.",2024-02-21 22:24,Anonymous,,,China,ProtBERT-BFD,,,,,,,,,,,Academia,,,,0
AbLang,Biology,Proteins,"Tobias H. Olsen, Iain H. Moal and Charlotte M. Deane",SOTA improvement,"""AbLang restores residues more accurately and faster than a current state-of-the-art protein language model ESM-1b, emphasizing the benefits and potential of an antibody specific language model"" - SOTA improvement for a very specific task",,https://academic.oup.com/bioinformaticsadvances/article/2/1/vbac046/6609807,58.00,"AbLang: an antibody language model for completing
antibody sequences",2022-01-22,University of Oxford,355000000.00,"""The hyperparameters were selected to be similar to those used
in the RoBERTa paper (Liu et al., 2019).""

Liu et al., 2019 link: https://arxiv.org/pdf/1907.11692.pdf
""We begin by training RoBERTa following the BERTLARGE architecture (L = 24, H = 1024, A = 16, 355M parameters)""",,,Observed antibody space (OAS) database,"""Here, we present AbLang, an antibody specific language model trained on either the heavy or light chain antibody sequences from OAS""",,,,,,,,,,,,,Confident,"Motivation
General protein language models have been shown to summarize the semantics of protein sequences into representations that are useful for state-of-the-art predictive methods. However, for antibody specific problems, such as restoring residues lost due to sequencing errors, a model trained solely on antibodies may be more powerful. Antibodies are one of the few protein types where the volume of sequence data needed for such language models is available, e.g. in the Observed Antibody Space (OAS) database.

Results
Here, we introduce AbLang, a language model trained on the antibody sequences in the OAS database. We demonstrate the power of AbLang by using it to restore missing residues in antibody sequence data, a key issue with B-cell receptor repertoire sequencing, e.g. over 40% of OAS sequences are missing the first 15 amino acids. AbLang restores the missing residues of antibody sequences better than using IMGT germlines or the general protein language model ESM-1b. Further, AbLang does not require knowledge of the germline of the antibody and is seven times faster than ESM-1b.",2024-02-02 17:45,Anonymous,,,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,,,Academia,,,,0
data2vec (language),Language,,"Alexei Baevski,  Wei-Ning Hsu,  Qiantong Xu , Arun Babu,  Jiatao Gu,  Michael Auli",SOTA improvement,"""Experiments on the major benchmarks of speech recognition, image classification, and natural lan guage understanding demonstrate a new state of the art or competitive performance to predominant approaches""",,https://ai.facebook.com/research/data2vec-a-general-framework-for-self-supervised-learning-in-speech-vision-and-language/,519.00,"Data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",2022-01-20,Meta AI,705134592.00,"Section 4: ""We experiment with two model sizes: data2vec Base and
data2vec Large, containing either L = 12 or L = 24 Trans-
former blocks with H = 768 or H = 1024 hidden dimen-
sion (with 4 × H feed-forward inner-dimension)""
",,,"Books Corpus,English Wikipedia",,3300000000,"Section 5.3: ""we
adopt the same training setup as BERT (Devlin et al., 2019)
by pre-training on the Books Corpus (Zhu et al., 2015) and
English Wikipedia data over 1M updates and a batch size
of 256 sequences.""",,,,,,,Self-supervised learning,,,Industry,,,2024-03-01 09:09,Robi Rahman,,,Multinational,,,,,,,,,,,,Industry,,,,0
data2vec (speech),Speech,,"Alexei Baevski,  Wei-Ning Hsu,  Qiantong Xu , Arun Babu,  Jiatao Gu,  Michael Auli",SOTA improvement,"""Experiments on the major benchmarks of speech recognition, image classification, and natural lan guage understanding demonstrate a new state of the art or competitive performance to predominant approaches""",,https://ai.facebook.com/research/data2vec-a-general-framework-for-self-supervised-learning-in-speech-vision-and-language/,519.00,"Data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",2022-01-20,Meta AI,705134592.00,"Section 4: ""We experiment with two model sizes: data2vec Base and
data2vec Large, containing either L = 12 or L = 24 Trans-
former blocks with H = 768 or H = 1024 hidden dimen-
sion (with 4 × H feed-forward inner-dimension)""
",,,LS-960,,13132800,"Section 5.2:
""we pre-train data2vec on the 960
hours of speech audio data from Librispeech (LS-960)""

13,680 words per hour",,,,,,,Self-supervised learning,,,Industry,,,2024-03-01 09:09,Robi Rahman,,,Multinational,,,,,,,,,,,,Industry,,,,0
data2vec (vision),Vision,,"Alexei Baevski,  Wei-Ning Hsu,  Qiantong Xu , Arun Babu,  Jiatao Gu,  Michael Auli",SOTA improvement,"""Experiments on the major benchmarks of speech recognition, image classification, and natural lan guage understanding demonstrate a new state of the art or competitive performance to predominant approaches""",,https://ai.facebook.com/research/data2vec-a-general-framework-for-self-supervised-learning-in-speech-vision-and-language/,519.00,"Data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",2022-01-20,Meta AI,705134592.00,"Section 4: ""We experiment with two model sizes: data2vec Base and
data2vec Large, containing either L = 12 or L = 24 Trans-
former blocks with H = 768 or H = 1024 hidden dimen-
sion (with 4 × H feed-forward inner-dimension)""
",,,ImageNet,,1281167,"Section 5.1: 
""we pretrain data2vec on the images of the ImageNet-1K training
set""",,,,,,,Self-supervised learning,,,Industry,,,2024-03-01 09:09,Robi Rahman,,,Multinational,,,,,,,,,,,,Industry,,,,0
Japanese-GPT-1B,Language,Language modelling/generation,,,,Fully open-source,https://huggingface.co/rinna/japanese-gpt-1b,,japanese-gpt-1b,2022-01-19,rinna,1300000000.00,,,,"Japanese CC-100,Japanese C4,Wikipedia (ja)","""The model was trained on Japanese C4, Japanese CC-100 and Japanese Wikipedia to optimize a traditional language modelling objective. It reaches around 14 perplexity on a chosen validation set from the same data.""",,,,,,,,,,,,,Likely,,2024-02-28 10:50,Anonymous,,0,Japan,,,,,,,,,,,,Industry,,,,0
Detic,Vision,"Object detection,Image classification",Detecting Twenty-thousand Classes using Image-level Supervision,SOTA improvement,"""On open-vocabulary COCO, our method outperforms the previous state-of-the-art OVR-CNN [ 72 ] by 5 point with the same detector and data""",Fully open-source,https://arxiv.org/abs/2201.02605,339.00,Detecting Twenty-thousand Classes using Image-level Supervision,2022-01-07,"Meta AI,University of Texas at Austin",88000000.00,"from https://github.com/microsoft/Swin-Transformer Swin-B have 88M, 
from page 8 :  'Training our ResNet50 model takes ∼ 22 hours on 8 V100 GPUs. The large 21K Swin-B model trains in ∼ 24 hours on 32 GPUs.'",23439974400000000000.00,"28.26e12* 32 * 24*3600*0.3 =2.34e19 = peak flops * num gpus * num seconds * assumed utilization rate
for Swin-B model from page 8 :  'Training our ResNet50 model takes ∼ 22 hours on 8 V100 GPUs. The large 21K Swin-B model trains in ∼ 24 hours on 32 GPUs.'","ImageNet21k,Conceptual Captions","table above section 5.1
""We evaluate Detic on the large-vocabulary object detection dataset LVIS [18 ]""
""Image-supervised data. We use two sources of image-supervised data: ImageNet-
21K [10] and Conceptual Captions """,16900000,"14M + 1.5M + 1.2M + 100K + 100K = 16900000.0
table above section 5.1",,,,24.0,"from page 8 :  'Training our ResNet50 model takes ∼ 22 hours on 8 V100
GPUs. The large 21K Swin-B model trains in ∼ 24 hours on 32 GPUs.'",NVIDIA V100,,,,,Speculative," Current object detectors are limited in vocabulary size due to the small scale of detection datasets. Image classifiers, on the other hand, reason about much larger vocabularies, as their datasets are larger and easier to collect. We propose Detic, which simply trains the classifiers of a detector on image classification data and thus expands the vocabulary of detectors to tens of thousands of concepts. Unlike prior work, Detic does not need complex assignment schemes to assign image labels to boxes based on model predictions, making it much easier to implement and compatible with a range of detection architectures and backbones. Our results show that Detic yields excellent detectors even for classes without box annotations. It outperforms prior work on both open-vocabulary and long-tail detection benchmarks. Detic provides a gain of 2.4 mAP for all classes and 8.3 mAP for novel classes on the open-vocabulary LVIS benchmark. On the standard LVIS benchmark, Detic obtains 41.7 mAP when evaluated on all classes, or only rare classes, hence closing the gap in performance for object categories with few samples. For the first time, we train a detector with all the twenty-one-thousand classes of the ImageNet dataset and show that it generalizes to new datasets without finetuning. Code is available at \url{this https URL}. ",2024-02-21 22:24,Bartosz Podkanowicz,,,"Multinational,United States of America",,,,32,,,,,,,,"Industry,Academia",,,,768
ERNIE-ViLG,Multimodal,Vision-language generation,"Han Zhang, Weichong Yin, Yewei Fang, Lanxin Li, Boqiang Duan, Zhihua Wu, Yu Sun, Hao Tian, Hua Wu, Haifeng Wang",SOTA improvement,"""we train a 10-billion parameter ERNIE-ViLG model on a large-scale dataset of 145 million (Chinese) image-text pairs which achieves state-of-the-art performance for both text-to-image and image-to-text tasks""",,https://arxiv.org/abs/2112.15283,42.00,ERNIE-ViLG: Unified Generative Pre-training for Bidirectional Vision-Language Generation,2021-12-31,Baidu,10000000000.00,"""To explore the landscape of large-scale pre-training for bidirectional text-image generation, we pre-train a 10-billion parameter model on a large-scale dataset of 145 million high-quality Chinese image-text pairs.""",,,,,145000000,"To explore the landscape of large-scale pre-training for bidirectional text-image generation,
we pre-train a 10-billion parameter model on a large-scale dataset of 145 million high-quality Chinese image-text pairs.",,,,,,,Self-supervised learning,,,,,,2024-02-26 20:48,Robi Rahman,,,China,,,,,,,,,,,,Industry,checked,,,0
Vespa,Biology,"Proteins,general-purpose protein or nucleotide language model (pLM/nLM)","Céline Marquet, Michael Heinzinger, Tobias Olenyi, Christian Dallago, Kyra Erckert, Michael Bernhofer, Dmitrii Nechaev & Burkhard Rost ",,,,https://link.springer.com/article/10.1007/s00439-021-02411-y,,Embeddings from protein language models predict conservation and variant effects,2021-12-30,Technical University of Munich,231000.00,"""(3) standard convolutional neural network (CNN; with two convolutional layers with a window size of 7, connected through ReLU activations; dropout rate of 0.25; 231 k free parameters)""",,,"ConSurf10k,Eff10k,PMD4k,DMS4,DMS39",,,,,,,,,,Supervised,,,,Likely,"The emergence of SARS-CoV-2 variants stressed the demand for tools allowing to interpret the effect of single amino acid variants (SAVs) on protein function. While Deep Mutational Scanning (DMS) sets continue to expand our understanding of the mutational landscape of single proteins, the results continue to challenge analyses. Protein Language Models (pLMs) use the latest deep learning (DL) algorithms to leverage growing databases of protein sequences. These methods learn to predict missing or masked amino acids from the context of entire sequence regions. Here, we used pLM representations (embeddings) to predict sequence conservation and SAV effects without multiple sequence alignments (MSAs). Embeddings alone predicted residue conservation almost as accurately from single sequences as ConSeq using MSAs (two-state Mat- thews Correlation Coefficient—MCC—for ProtT5 embeddings of 0.596 ± 0.006 vs. 0.608 ± 0.006 for ConSeq). Inputting the conservation prediction along with BLOSUM62 substitution scores and pLM mask reconstruction probabilities into a simplistic logistic regression (LR) ensemble for Variant Effect Score Prediction without Alignments (VESPA) predicted SAV effect magnitude without any optimization on DMS data. Comparing predictions for a standard set of 39 DMS experiments to other methods (incl. ESM-1v, DeepSequence, and GEMME) revealed our approach as competitive with the state-of-the-art (SOTA) methods using MSA input. No method outperformed all others, neither consistently nor statistically significantly, independently of the performance measure applied (Spearman and Pearson correlation). Finally, we investigated binary effect predictions on DMS experiments for four human proteins. Overall, embedding-based methods have become competi- tive with methods relying on MSAs for SAV effect prediction at a fraction of the costs in computing/energy. Our method predicted SAV effects for the entire human proteome (~ 20 k proteins) within 40 min on one Nvidia Quadro RTX 8000. All methods and data sets are freely available for local and online execution through bioembeddings.com, https://github.com/ Rostlab/VESPA, and PredictProtein.",2024-02-02 17:45,Anonymous,,,Germany,ProteinBERT,,,,,,,,,,,Academia,,,,0
ERNIE 3.0 Titan,Language,,"Shuohuan Wang, Yu Sun, Yang Xiang, Zhihua Wu, Siyu Ding, Weibao Gong, Shikun Feng",SOTA improvement,"""Empirical results show that the ERNIE 3.0 Titan outperforms the state-of-the-art models on 68 NLP datasets.""",,https://arxiv.org/abs/2112.12731,46.00,ERNIE 3.0 Titan: Exploring Larger-scale Knowledge Enhanced Pre-training for Language Understanding and Generation,2021-12-23,"Baidu,Peng Cheng Laboratory",260000000000.00,"""[We] developed... distributed training technology, including fine-grained parallelism, heterogeneous hardware-aware training, and fault tolerance mechanism to train the 260B model on both Nvidia V100 GPU and Ascend 910 NPU clusters.""
See also:
https://twitter.com/BaiduResearch/status/1468633977242243078?t=6q4zuLNdTSc4GUBe9OM5Aw&s=19",1.0421e+24,"The paper suggests that ERNIE 3.0 Titan uses more compute than GPT-3. This is consistent with the 6ND approximation.

C = 6ND = 6 (FLOP/param/token) * (260B params) * (668B tokens) = 1.0421*10^24 FLOP",ERNIE 3.0 Corpus,,668000000000,"""To ensure the success of the pre-training of ERNIE 3.0 Titan, we utilize the ERNIE 3.0 Corpus [ 2 ], a large-scale, wide-variety, and high-quality Chinese text corpora amounting to 4TB""

Assuming 167M words per GB",,,,,,"Huawei Ascend 910,NVIDIA Tesla V100 DGXS 32 GB",,,,Industry,Likely,"Pre-trained language models have achieved state-of-the-art results in various Natural Language Processing (NLP) tasks. GPT-3 has shown that scaling up pre-trained language models can further exploit their enormous potential. A unified framework named ERNIE 3.0 was recently proposed for pre-training large-scale knowledge enhanced models and trained a model with 10 billion parameters. ERNIE 3.0 outperformed the state-of-the-art models on various NLP tasks. In order to explore the performance of scaling up ERNIE 3.0, we train a hundred-billion-parameter model called ERNIE 3.0 Titan with up to 260 billion parameters on the PaddlePaddle platform. Furthermore, we design a self-supervised adversarial loss and a controllable language modeling loss to make ERNIE 3.0 Titan generate credible and controllable texts. To reduce the computation overhead and carbon emission, we propose an online distillation framework for ERNIE 3.0 Titan, where the teacher model will teach students and train itself simultaneously. ERNIE 3.0 Titan is the largest Chinese dense pre-trained model so far. Empirical results show that the ERNIE 3.0 Titan outperforms the state-of-the-art models on 68 NLP datasets.",2024-03-01 09:05,Robi Rahman,,0,"China,China",,,,1920,,ERNIE 3.0 Titan,,,,1048576,"""The maximum sequence length of context and
the memory length of language generation is 512 and 128, respectively""

In table 1, they use a global batch size of 512 when data parallelism is ""1"" and 2048 when DP is ""4"". Not sure I fully understand this part but I guess they'd use parallelism as much as possible given how they talk about it.

2048 * 512 = 1048576.","Industry,Academia",checked,,,0
XGLM,Language,,"Xi Victoria Lin, Todor Mihaylov, Mikel Artetxe, Tianlu Wang, Shuohui Chen, Daniel Simig, Myle Ott, Naman Goyal, Shruti Bhosale, Jingfei Du, Ramakanth Pasunuru, Sam Shleifer, Punit Singh Koura, Vishrav Chaudhary, Brian O’Horo, Jeff Wang, Luke Zettlemoyer, Zornitsa Kozareva, Mona Diab, Veselin Stoyanov, Xian Li",SOTA improvement,"""Our largest model (XGLM7.5B) sets a new state of the art performance for few-shot learning in more than 20 representative languages (including medium- and low-resource languages) for the tasks of commonsense reasoning, natural language inference and machine translation.""",,https://arxiv.org/abs/2112.10668,125.00,Few-shot Learning with Multilingual Language Models,2021-12-20,Meta AI,7500000000.00,,,,Subset of CC100-XL,,1740000000,,,,,,,,Self-supervised learning,,,Industry,,,2024-03-01 09:05,Robi Rahman,,,Multinational,,,,,,,,,,,,Industry,,,,0
GLIDE,Image generation,Image generation,"Alex Nichol, Prafulla Dhariwal, Aditya Ramesh, Pranav Shyam Pamela Mishkin Bob McGrew IlyaSutskever MarkChen",Highly cited,,,https://arxiv.org/abs/2112.10741,1753.00,GLIDE: Towards Photorealistic Image Generation and Editing with Text-Guided Diffusion Models,2021-12-20,OpenAI,3500000000.00,"""Samples from a 3.5 billion parameter text-conditional diffusion model using classifier-free guidance are favored by human evaluators to those from DALL-E, even when the latter uses expensive CLIP reranking""",,"""Note that GLIDE was
trained with roughly the same training compute as DALL-E
but with a much smaller model (3.5 billion vs. 12 billion
parameters)""",,,250000000,"Section 4:
""We train our model on the same dataset as DALL-E (Ramesh
et al., 2021)""

This paper used 250M image-text pairs
https://arxiv.org/pdf/2102.12092.pdf",,,,,,,,,,Industry,,,2024-03-01 09:30,Robi Rahman,,,United States of America,,,,,,,,,,,,Industry,,,,0
MoE-1.1T,Language,,"Mikel Artetxe, Shruti Bhosale, Naman Goyal, Todor Mihaylov, Myle Ott, Sam Shleifer, Xi Victoria Lin, Jingfei Du, Srinivasan Iyer, Ramakanth Pasunuru, Giri Anantharaman, Xian Li, Shuohui Chen, Halil Akin, Mandeep Baines, Louis Martin, Xing Zhou, Punit Singh Koura, Brian O'Horo, Jeff Wang, Luke Zettlemoyer, Mona Diab, Zornitsa Kozareva, Ves Stoyanov",,,,https://arxiv.org/abs/2112.10684,113.00,Efficient Large Scale Language Modeling with Mixtures of Experts,2021-12-20,Meta AI,1100000000000.00,,2.227e+22,Reported directly in paper. Authors calculate FLOPs analytically in appendix G,,"""We pretrain our models on a union of six Englishlanguage datasets, including the five datasets used to pretrain RoBERTa (Liu et al., 2019) and the
English subset of CC100, totalling 112B tokens corresponding to 453GB:
BookCorpus (Zhu et al., 2019) consists of more
than 10K unpublished books (4GB);
• English Wikipedia, excluding lists, tables and
headers (12GB);
• CC-News (Nagel, 2016) contains 63 millions English news articles crawled between September
2016 and February 2019 (76GB);
• OpenWebText (Gokaslan and Cohen, 2019), an
open source recreation of the WebText dataset
used to train GPT-2 (38GB);
• CC-Stories (Trinh and Le, 2018) contains a subset of CommonCrawl data filtered to match the
story-like style of Winograd schemas (31GB);
• English CC100 (Wenzek et al., 2020), a dataset
extracted from CommonCrawl snapshots between January 2018 and December 2018, filtered
to match the style of Wikipedia (292GB)""",84000000000,"112B tokens, or 84B words at 0.75 English words/token. 
""We pretrain our models on a union of six Englishlanguage datasets, including the five datasets used to pretrain RoBERTa (Liu et al., 2019) and the
English subset of CC100, totalling 112B tokens""",2.68,,,,,NVIDIA A100,,,,,Confident,"Mixture of Experts layers (MoEs) enable efficient scaling of language models through conditional computation. This paper presents a detailed empirical study of how autoregressive MoE language models scale in comparison with dense models in a wide range of settings: in- and out-of-domain language modeling, zero- and few-shot priming, and full-shot fine-tuning. With the exception of fine-tuning, we find MoEs to be substantially more compute efficient. At more modest training budgets, MoEs can match the performance of dense models using ∼4 times less compute. This gap narrows at scale, but our largest MoE model (1.1T parameters) consistently outperforms a compute-equivalent dense model (6.7B parameters). Overall, this performance gap varies greatly across tasks and domains, suggesting that MoE and dense models generalize differently in ways that are worthy of future study. We make our code and models publicly available for research use.",2024-03-01 09:05,Anonymous,,,Multinational,,,,,,,,,,,,Industry,,,,0
