System,Domain,Task,Authors,Notability criteria,Notability criteria notes,Open-source,Link,Citations,Reference,Publication date,Organization,Organization categorization,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset,Training dataset notes,Training dataset size (datapoints),Dataset size notes,Epochs,Inference compute (FLOP),Inference compute notes,Training time (hours),Training time notes,Training hardware,Name of the hardware (from Training hardware),Approach,Training compute cost (2020 USD),Compute cost notes,Compute sponsor categorization,Confidence,Abstract,Last modified,Created By,Benchmark data,Exclude,Country (from Organization),Organization (from Organization),Base model,Finetune compute (FLOP),Finetune compute notes,Authors by country,Hardware quantity,Hardware utilization,Training cost trends
"Variational (untied weights, MC) LSTM (Large)",Language,,"Yarin Gal, Zoubin Ghahramani","Highly cited,SOTA Improvement","""The new approach outperforms existing techniques, and to the best of our knowledge improves on the single model state-of-the-art in language modelling with the Penn Treebank (73.4 test perplexity)""",,https://arxiv.org/abs/1512.05287?context=stat,1838.00,A Theoretically Grounded Application of Dropout in Recurrent Neural Networks,2015-12-16,University of Cambridge,,66000000.00,,5620000000000000.00,,Penn TreeBank,,,,16.00,,,,,,,,,,,,,2023-11-26 03:25,Robi Rahman,"""Variational (untied weights, MC) LSTM (Large)""",,United Kingdom of Great Britain and Northern Ireland,University of Cambridge,,,,"""Variational (untied weights, MC) LSTM (Large)""",,,
AlphaGo Lee,Games,Go,"David Silver, Aja Huang, Chris J. Maddison, Arthur Guez, Laurent Sifre, George van den Driessche, Julian Schrittwieser, Ioannis Antonoglou, Veda Panneershelvam, Marc Lanctot, Sander Dieleman, Dominik Grewe, John Nham, Nal Kalchbrenner, Ilya Sutskever, Timothy Lillicrap, Madeleine Leach, Koray Kavukcuoglu, Thore Graepel, Demis Hassabis",Highly cited,,,https://www.nature.com/articles/nature16961,14389.00,Mastering the game of Go with deep neural networks and tree search,2016-01-27,DeepMind,Industry,,,1.9e+21,"This number is pretty uncertain. I expect it to be right to around a factor of 3, at least compared to AlphaGo Fan.

The architecture used was pretty much the same as AlphaGo Fan, but it was ""trained for longer"" and had around 5.33x the number of convolutional layers of AlphaGo Fan (256/48 = 5.33). 

The convolutional layers are the major contributor to the training compute, so I somewhat arbitrarily just multiply the compute for AlphaGo Fan by 5. Thus 3.8e20 * 5 = 1.9e21

Otherwise there has been little said about this model specifically - I've mainly relied on the source for AlphaGo Zero and AlphaGo Fan, linked below

AlphaGo Fan: https://www.nature.com/articles/nature16961

AlphaGo Zero: https://www.nature.com/articles/nature24270.epdf?author_access_token=VJXbVjaSHxFoctQQ4p2k4tRgN0jAjWel9jnR3ZoTv0PVW4gB86EEpGqTRDtpIz-2rmo8-KG06gqVobU5NSCFeHILHcVFUeMsbvwS-lxjqQGg98faovwjxeTUgZAUMnRQ",,,29400000,"We trained the policy network pσ to classify positions according to expert moves played in the KGS data set. This data set contains 29.4 million positions from 160,000 games played by KGS 6 to 9 dan human players; 35.4% of the games are handicap games.",,,,,,,,,$14041.80,,Industry,Speculative,"The game of Go has long been viewed as the most challenging of classic games for artificial intelligence owing to its enormous search space and the difficulty of evaluating board positions and moves. Here we introduce a new approach to computer Go that uses ‘value networks’ to evaluate board positions and ‘policy networks’ to select moves. These deep neural networks are trained by a novel combination of supervised learning from human expert games, and reinforcement learning from games of self-play. Without any lookahead search, the neural networks play Go at the level of state-of-the-art Monte Carlo tree search programs that simulate thousands of random games of self-play. We also introduce a new search algorithm that combines Monte Carlo simulation with value and policy networks. Using this search algorithm, our program AlphaGo achieved a 99.8% winning rate against other Go programs, and defeated the human European Go champion by 5 games to 0. This is the first time that a computer program has defeated a human professional player in the full-sized game of Go, a feat previously thought to be at least a decade away.",2023-12-05 04:33,Robi Rahman,,,United Kingdom of Great Britain and Northern Ireland,DeepMind,,,,AlphaGo Lee,,,AlphaGo Lee
Convolutional Pose Machines,Vision,Pose estimation,"Shih-En Wei, Varun Ramakrishna, Takeo Kanade, Yaser Sheikh",Highly cited,,,https://arxiv.org/abs/1602.00134,2467.00,Convolutional Pose Machines,2016-01-30,Carnegie Mellon University (CMU),Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-12-05 04:33,Robi Rahman,,,United States of America,Carnegie Mellon University (CMU),,,,Convolutional Pose Machines,,,
A3C FF hs,Games,Atari Games,"V Mnih, AP Badia, M Mirza, A Graves",SOTA improvement,,,http://arxiv.org/abs/1602.01783v2,7233.00,Asynchronous Methods for Deep Reinforcement Learning,2016-02-04,"Google,University of Montreal",Industry - Academia Collaboration (Industry leaning),,,,,,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,"Multinational,Canada","Google, University of Montreal",,,,A3C FF hs,,,
Inception-ResNet-V2,Vision,Image classification,"Christian Szegedy, Sergey Ioffe, Vincent Vanhoucke, Alex Alemi",Highly cited,,,https://arxiv.org/abs/1602.07261,11630.00,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",2016-02-23,Google,Industry,56000000.00,,,,,,,,,2638000000.00,"Rados (FLOPs)
https://drive.google.com/drive/folders/1bhy5z6hh1n3wCHx6528Xb7xB1KhYdAL1",,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,Multinational,Google,,,,Inception-ResNet-V2,,,
Inceptionv4,Vision,Image classification,"Christian Szegedy, Sergey Ioffe, Vincent Vanhoucke, Alex Alemi",Highly cited,,,https://arxiv.org/abs/1602.07261,11630.00,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",2016-02-23,Google,Industry,43000000.00,"""The folks from Google strike again with Inception-v4, 43M parameters.""

https://towardsdatascience.com/illustrated-10-cnn-architectures-95d78ace614d",,,,,,,,24600000000.00,"Rados (FLOPs)
https://drive.google.com/drive/folders/1bhy5z6hh1n3wCHx6528Xb7xB1KhYdAL1",,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,Multinational,Google,,,,Inceptionv4,,,
SqueezeNet,Vision,Image classification,"Forrest N. Iandola, Song Han, Matthew W. Moskewicz, Khalid Ashraf, William J. Dally, Kurt Keutzer",Highly cited,,,https://arxiv.org/abs/1602.07360,5964.00,SqueezeNet: AlexNet-level accuracy with 50x fewer parameters and <0.5MB model size,2016-02-24,"DeepScale,UC Berkeley,Stanford University",Industry - Academia Collaboration,1200000.00,"The paper says ""SqueezeNet achieves AlexNet-level accuracy on ImageNet with 50x fewer parameters.""

AlexNet has 60 million parameters.",,,,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,"United States of America,United States of America,United States of America","DeepScale, UC Berkeley, Stanford University",,,,SqueezeNet,,,
Binarized Neural Network (MNIST),Vision,Image Classification,"Matthieu Courbariaux, Itay Hubara, Daniel Soudry, Ran El-Yaniv, Yoshua Bengio",Highly cited,,,https://arxiv.org/abs/1602.02830,3299.00,Binarized Neural Networks: Training Neural Networks with Weights and Activations Constrained to +1 or −1,2016-03-17,"Université de Montréal,Technion - Israel Institute of Technology,Columbia University,CIFAR AI Research",Academia,37000000.00,"Parameter count is not explicitly stated, but they give details:

""The MLP we train on MNIST consists of 3 hidden layers of 4096 binary units (see Section 1) and a L2-SVM output layer""

Approximately 37m, based on 784 pixels * 4096 + 2 * 4096^2",,,MNIST,,60000,"60k training images, 10k test in MNIST",1000.00,,,,,,,,,,,Likely,"We introduce a method to train Binarized Neural Networks (BNNs) - neural networks with binary weights and activations at run-time. At training-time the binary weights and activations are used for computing the parameters gradients. During the forward pass, BNNs drastically reduce memory size and accesses, and replace most arithmetic operations with bit-wise operations, which is expected to substantially improve power-efficiency. To validate the effectiveness of BNNs we conduct two sets of experiments on the Torch7 and Theano frameworks. On both, BNNs achieved nearly state-of-the-art results over the MNIST, CIFAR-10 and SVHN datasets. Last but not least, we wrote a binary matrix multiplication GPU kernel with which it is possible to run our MNIST BNN 7 times faster than with an unoptimized GPU kernel, without suffering any loss in classification accuracy. The code for training and running our BNNs is available on-line.",2023-11-26 03:25,Anonymous,,,"Canada,Israel,United States of America,Canada","Université de Montréal, Technion - Israel Institute of Technology, Columbia University, CIFAR AI Research",,,,Binarized Neural Network (MNIST),,,
Symmetric Residual Encoder-Decoder Net,Vision,Image super-resolution,"Xiao-Jiao Mao, Chunhua Shen, Yu-Bin Yang",Highly cited,,,https://arxiv.org/abs/1603.09056v2,1184.00,Image Restoration Using Very Deep Convolutional Encoder-Decoder Networks with Symmetric Skip Connections,2016-03-30,"Nanjing University,University of Adelaide",Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-11-26 03:25,Robi Rahman,,,"China,Australia","Nanjing University, University of Adelaide",,,,Symmetric Residual Encoder-Decoder Net,,,
Gated HORNN (3rd order),Language,,"Rohollah Soltani, Hui Jiang",SOTA Improvement,"""Both FOFEbased pooling and gated HORNNs have achieved the stateof-the-art performance, i.e., 100 in perplexity on this task.
To the best of our knowledge, this is the best reported performance on PTB under the same training condition.""",,https://arxiv.org/pdf/1605.00064,77.00,Higher Order Recurrent Neural Networks,2016-04-30,York University,,8970000.00,,,,Penn TreeBank,,,,,,,,,,,,,,,,,2023-11-26 03:25,Robi Rahman,Gated HORNN (3rd order),,Canada,York University,,,,Gated HORNN (3rd order),,,
Spatiotemporal fusion ConvNet,Vision,Video,"Christoph Feichtenhofer, Axel Pinz, Andrew Zisserman",Highly cited,,,https://openaccess.thecvf.com/content_cvpr_2016/html/Feichtenhofer_Convolutional_Two-Stream_Network_CVPR_2016_paper.html,2376.00,Convolutional Two-Stream Network Fusion for Video Action Recognition,2016-06-01,"Graz University of Technology,University of Oxford",Academia,,,,,UCF101,,97200,"[SECONDS OF VIDEO]

They use UCF101, whose paper says
""We introduce UCF101 which is currently the largest dataset of human actions. It consists of 101 action classes, over 13k clips and 27 hours of video data""",,,,,,,,,,,Academia,,,2023-12-05 04:33,Robi Rahman,,,"Austria,United Kingdom of Great Britain and Northern Ireland","Graz University of Technology, University of Oxford",,,,Spatiotemporal fusion ConvNet,,,
DMN,Language,,"Ankit Kumar, Ozan Irsoy, Peter Ondruska, Mohit Iyyer, James Bradbury, Ishaan Gulrajani, Victor Zhong, Romain Paulus, Richard Socher",Highly cited,,,https://arxiv.org/abs/1506.07285,1187.00,Ask Me Anything: Dynamic Memory Networks for Natural Language Processing,2016-06-20,Salesforce,Industry,,,,,,,,,,,,,,,,,,,Industry,,,2023-11-26 03:25,Robi Rahman,,,United States of America,Salesforce,,,,DMN,,,
R-FCN,Vision,Object detection,"Jifeng Dai, Y. Li, Kaiming He, and Jian Sun",Highly cited,,,https://arxiv.org/abs/1605.06409,5033.00,R-fcn: Object detection via region-based fully convolutional networks.,2016-06-21,"Tsinghua University,Microsoft Research",Industry - Academia Collaboration (Industry leaning),,,61492939793999990.00,"1,464  images in 2012 VOC (https://paperswithcode.com/dataset/pascal-voc)/
9,963 images in 2007 VOC (https://www.tensorflow.org/datasets/catalog/voc)
83K training images in MS COCO  (https://paperswithcode.com/dataset/coco)

They used a Nvidia K40 GPU and report training time/image in seconds (table 3)

Assumed a 0.33 util rate",PASCAL VOC (2007 and 2012 vesrions) + MS COCO,,94427,,,,,,,,,,$5.51,,Industry,,,2023-12-05 04:33,Robi Rahman,,,"China,United States of America","Tsinghua University, Microsoft Research",,,,R-FCN,,,
Wide & Deep,Recommendation,,"HT Cheng, L Koc, J Harmsen, T Shaked",Highly cited,,,https://arxiv.org/abs/1606.07792,2879.00,Wide & Deep Learning for Recommender Systems,2016-06-24,Google,Industry,,,,,,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,Multinational,Google,,,,Wide & Deep,,,
fastText,Language,,"A Joulin, E Grave, P Bojanowski, T Mikolov",Highly cited,,,https://arxiv.org/abs/1607.01759,4003.00,Bag of Tricks for Efficient Text Classification,2016-07-06,Facebook AI Research,Industry,,,,,,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,Multinational,Facebook AI Research,,,,fastText,,,
VD-RHN,Language,,"Julian Georg Zilly, Rupesh Kumar Srivastava, Jan Koutník, Jürgen Schmidhuber",SOTA Improvement,"""On the larger Wikipedia datasets for character prediction (text8 and enwik8), RHNs outperform all previous results and achieve an entropy of 1.27 bits per character.""",,https://arxiv.org/abs/1607.03474,493.00,Recurrent Highway Networks,2016-07-12,"ETH Zurich,IDSIA",,32000000.00,,3570000000000000.00,,Penn TreeBank,,,,20.00,,,,,,,,,,,,,2023-11-26 03:25,Robi Rahman,VD-RHN,,"Switzerland,Switzerland","ETH Zurich, IDSIA",,,,VD-RHN,,,
Variational RHN + WT,Language,,,,,,,,,2016-07-12,,,,,,,,,,,20.00,,,,,,,,,,,Unverified,,2023-12-08 01:00,Robi Rahman,Variational RHN + WT,1,,,,,,,,,
Character-enriched word2vec,Language,,"P Bojanowski, E Grave, A Joulin",Highly cited,,,https://arxiv.org/abs/1607.04606,8563.00,Enriching Word Vectors with Subword Information,2016-07-15,Facebook AI Research,Industry,,,,,,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,Multinational,Facebook AI Research,,,,Character-enriched word2vec,,,
Part-of-sentence tagging model,Language,POS tagging,"Jimmy Lei Ba, Jamie Ryan Kiros, Geoffrey E. Hinton",Highly cited,,,https://arxiv.org/abs/1607.06450,6928.00,Layer Normalization,2016-07-21,University of Toronto,Academia,,,145411200000000000.00,"12 hours of training for POS tagging
GeForce GTX TITAN X GPU
0.33 utilization rate
",,,,,,,,12.0,,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce GTX TITAN X,,$0.97,,Academia,Wrong,,2023-12-05 04:33,Robi Rahman,,,Canada,University of Toronto,,,,Part-of-sentence tagging model,,,
Named Entity Recognition model,Language,Named Entity Recognition model,"Jimmy Lei Ba, Jamie Ryan Kiros, and Geoffrey E Hin- ton",Highly cited,,,https://arxiv.org/abs/1607.06450,6928.00,Layer Normalization,2016-07-21,University of Toronto,Academia,,,96940800000000000.00,"8 hours of training for NER
GeForce GTX TITAN X GPU
0.33 utilization rate
",,,,,,,,8.0,,NVIDIA GeForce GTX TITAN X,NVIDIA GeForce GTX TITAN X,,$0.63,,Academia,Wrong,,2023-12-05 04:33,Robi Rahman,,,Canada,University of Toronto,,,,Named Entity Recognition model,,,
Attend-Infer-Repeat,Vision,Object recognition,"SM Ali Eslami, Nicolas Heess, Theophane Weber, Yuval Tassa, David Szepesvari, Geoffrey E Hinton",,,,https://arxiv.org/pdf/1603.08575.pdf,488.00,"Attend, Infer, Repeat: Fast Scene Understanding with Generative Models",2016-08-12,Google DeepMind,Industry,,,,,MNIST,images of multiple MNIST digits,60000,60000 MNIST images,,21000000000.00,"Executed on Nvidia Quadro K4000 GPU (1244 gFLOPs), took 17 milliseconds per image of three digits. 1244*0.017 = 21 gFLOP",48.0,"48 hours for MNIST model, 72 hours for 3D scenes model",,,,,,,Unverified,"We present a framework for efficient inference in structured image models that explicitly reason about objects. We achieve this by performing probabilistic inference using a recurrent neural network that attends to scene elements and processes them one at a time. Crucially, the model itself learns to choose the appropriate number of inference steps. We use this scheme to learn to perform inference in partially specified 2D models (variable-sized variational auto-encoders) and fully specified 3D models (probabilistic renderers). We show that such models learn to identify multiple objects – counting, locating and classifying the elements of a scene – without any supervision, e.g., decomposing 3D images with various numbers of objects in a single forward pass of a neural network at unprecedented speed. We
further show that the networks produce accurate inferences when compared to supervised counterparts, and that their structure leads to improved generalization.",2023-12-05 04:33,Anonymous,,,Multinational,Google DeepMind,,,,,,,
SimpleNet,Vision,Image Classification,"Seyyed Hossein Hasanpour, Mohammad Rouhani, Mohsen Fayyaz, Mohammad Sabokrou",SOTA Improvement,"""We achieved state-of-theart result on CIFAR10 outperforming several heavier architectures""",,https://arxiv.org/abs/1608.06037,117.00,"Lets keep it simple, Using simple architectures to outperform deeper and more complex architectures",2016-08-22,"Sensifai,Islamic Azad University,Technicolor R&I,Institute for Research in Fundamental Sciences (IPM)",Industry - Academia Collaboration (Industry leaning),5480000.00,SOTA CIFAR-10 model was 5.48m params,,,"CIFAR-10, ImageNet","""We experimented on CIFAR-10/100 Krizhevsky & Hinton (2009), SVHN Netzer et al. (2011), MNIST
Lecun et al. (1998) and ILSVRC 2012 classification task Russakovsky et al. (2015) datasets in order
to evaluate and compare our architecture""",,,,,,,,NVIDIA GeForce GTX 980,NVIDIA GeForce GTX 980,,,,,Confident,"Major winning Convolutional Neural Networks (CNNs), such as AlexNet, VGGNet, ResNet, GoogleNet, include tens to hundreds of millions of parameters, which impose considerable computation and memory overhead. This limits their practical use for training, optimization and memory efficiency. On the contrary, light-weight architectures, being proposed to address this issue, mainly suffer from low accuracy. These inefficiencies mostly stem from following an ad hoc procedure. We propose a simple architecture, called SimpleNet, based on a set of designing principles, with which we empirically show, a well-crafted yet simple and reasonably deep architecture can perform on par with deeper and more complex architectures. SimpleNet provides a good tradeoff between the computation/memory efficiency and the accuracy. Our simple 13-layer architecture outperforms most of the deeper and complex architectures to date such as VGGNet, ResNet, and GoogleNet on several well-known benchmarks while having 2 to 25 times fewer number of parameters and operations. This makes it very handy for embedded systems or systems with computational and memory limitations. We achieved state-of-theart result on CIFAR10 outperforming several heavier architectures, near state of the art on MNIST and highly competitive results on CIFAR100 and SVHN. We also outperformed the much larger and deeper architectures such as VGGNet and popular variants of ResNets among others on the ImageNet dataset. Models are made available at: https://github.com/Coderx7/SimpleNet",2023-11-26 03:25,Anonymous,,,"Belgium,Iran (Islamic Republic of),France,Iran (Islamic Republic of)","Sensifai, Islamic Azad University, Technicolor R&I, Institute for Research in Fundamental Sciences (IPM)",,,,SimpleNet,,,
DenseNet-264,Vision,Image classification,"G Huang, Z Liu, L Van Der Maaten",Highly cited,,,https://arxiv.org/abs/1608.06993,28620.00,Densely Connected Convolutional Networks,2016-08-25,"Tsinghua University,Facebook AI Research,Cornell University",Industry - Academia Collaboration (Academia leaning),34000000.00,,,,,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,"China,Multinational,United States of America","Tsinghua University, Facebook AI Research, Cornell University",,,,DenseNet-264,,,
Multi-task Cascaded CNN,Vision,Face detection,"Kaipeng Zhang, Zhanpeng Zhang, Zhifeng Li, Yu Qiao",Highly cited,,,https://arxiv.org/abs/1604.02878,4164.00,Joint Face Detection and Alignment using Multitask cascaded convolutional networks,2016-08-26,"Chinese Academy of Sciences,Chinese University of Hong Kong",Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-12-05 04:33,Robi Rahman,,,"China,Hong Kong","Chinese Academy of Sciences, Chinese University of Hong Kong",,,,Multi-task Cascaded CNN,,,
WaveNet,Speech,,"A Oord, S Dieleman, H Zen, K Simonyan",Highly cited,,,https://arxiv.org/abs/1609.03499,6172.00,WaveNet: A Generative Model for Raw Audio,2016-09-12,Google DeepMind,Industry,,,,,,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,Multinational,Google DeepMind,,,,WaveNet,,,
Youtube recommendation model,Recommendation,,"Paul Covington, Jay Adams, and Emre Sargin",Highly cited,,,https://research.google/pubs/pub45530/,2462.00,Deep Neural Networks for YouTube Recommendations,2016-09-15,Google,Industry,,,,,,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,Multinational,Google,,,,Youtube recommendation model,,,
MS-CNN,Vision,Object detection,"Zhaowei Cai, Quanfu Fan, Rogerio S. Feris, Nuno Vasconcelos",Highly cited,,,https://link.springer.com/chapter/10.1007/978-3-319-46493-0_22,1405.00,A Unified Multi-scale Deep Convolutional Neural Network for Fast Object Detection,2016-09-17,"IBM,UC San Diego",Industry - Academia Collaboration,,,,,,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,"Multinational,United States of America","IBM, UC San Diego",,,,MS-CNN,,,
Stacked hourglass network,Vision,Pose estimation,"Alejandro Newell, Kaiyu Yang, Jia Deng",Highly cited,,,https://link.springer.com/chapter/10.1007/978-3-319-46484-8_29,4398.00,Stacked Hourglass Networks for Human Pose Estimation,2016-09-17,University of Michigan,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-12-05 04:33,Robi Rahman,,,United States of America,University of Michigan,,,,Stacked hourglass network,,,
TSN,Vision,Action recognition,"Limin Wang, Yuanjun Xiong, Zhe Wang, Yu Qiao, Dahua Lin, Xiaoou Tang, Luc Van Gool",Highly cited,,,https://link.springer.com/chapter/10.1007/978-3-319-46484-8_2,3260.00,Temporal Segment Networks: Towards Good Practices for Deep Action Recognition,2016-09-17,"ETH Zurich,Shenzhen Institute of Advanced Technology,Chinese University of Hong Kong",Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-12-05 04:33,Robi Rahman,,,"Switzerland,China,Hong Kong","ETH Zurich, Shenzhen Institute of Advanced Technology, Chinese University of Hong Kong",,,,TSN,,,
ResNet-1001,Vision,Image classification,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",Highly cited,,,https://link.springer.com/chapter/10.1007/978-3-319-46493-0_38,8618.00,Identity Mappings in Deep Residual Networks,2016-09-17,Microsoft,Industry,10200000.00,,,"""On CIFAR, ResNet-1001 takes about 27 h to train on 2 GPUs""",CIFAR 10 and CIFAR 100,,,,,,,,,,,,,,Industry,,,2023-12-05 04:33,Robi Rahman,,,Multinational,Microsoft,,,,ResNet-1001,,,
ResNet-200,Vision,Image Classification,"Kaiming He, Xiangyu Zhang, Shaoqing Ren, Jian Sun",Highly cited,,,https://link.springer.com/chapter/10.1007/978-3-319-46493-0_38,8618.00,Identity Mappings in Deep Residual Networks,2016-09-17,Microsoft,Industry,,,,"""ResNet-200 takes about 3 weeks to train on 8 GPUs"". didn't specify which GPU",ImageNet,,,,,,,500.0,"""about 3 weeks""",,,,,,,Unverified,"Deep residual networks have emerged as a family of extremely deep architectures showing compelling accuracy and nice convergence behaviors. In this paper, we analyze the propagation formulations behind the residual building blocks, which suggest that the forward and backward signals can be directly propagated from one block to any other block, when using identity mappings as the skip connections and after-addition activation. A series of ablation experiments support the importance of these identity mappings. This motivates us to propose a new residual unit, which makes training easier and improves generalization. We report improved results using a 1001-layer ResNet on CIFAR10 (4.62 % error) and CIFAR-100, and a 200-layer ResNet on ImageNet.",2023-12-05 04:33,Anonymous,,,Multinational,Microsoft,,,,ResNet-200,,,
Wide Residual Network,Vision,Image classification,"Sergey Zagoruyko, Nikos Komodakis",Highly cited,,,https://arxiv.org/abs/1605.07146,6308.00,Wide Residual Networks,2016-09-19,Université Paris-Est,Academia,,,,,,,,,,,,,,,,,,,Academia,,,2023-12-05 04:33,Robi Rahman,,,France,Université Paris-Est,,,,Wide Residual Network,,,
GNMT,Language,Translation,"Yonghui Wu, Mike Schuster, Zhifeng Chen, Quoc V. Le, Mohammad Norouzi, Wolfgang Macherey, Maxim Krikun, Yuan Cao, Qin Gao, Klaus Macherey, Jeff Klingner, Apurva Shah, Melvin Johnson, Xiaobing Liu, Łukasz Kaiser, Stephan Gouws, Yoshikiyo Kato, Taku Kudo, Hideto Kazawa, Keith Stevens, George Kurian, Nishant Patil, Wei Wang, Cliff Young, Jason Smith, Jason Riesa, Alex Rudnick, Oriol Vinyals, Greg Corrado, Macduff Hughes, Jeffrey Dean",Highly cited,,,https://arxiv.org/abs/1609.08144,5948.00,Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation,2016-09-26,Google,Industry,278000000.00,"Table 5 in 'Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer'

https://arxiv.org/abs/1701.06538",6.899999999999999e+21,"sqrt(10 * 100) factor added because production model used 2-3 orders of magnitude more data, but only 1 epoch rather than 10.
96 K80 GPU’s * 9 days * 8.5 TFLOPS * 0.33 utilization * sqrt(10 * 100)  
= 6.9e6 PF = 79 pfs-days

source: https://openai.com/blog/ai-and-compute/",,,360000000,"[WORDS]
"" On WMT En→Fr, the training set contains 36M sentence pairs. On WMT En→De, the training set contains 5M sentence pairs.""

36M sentences * 10 words/sentence",,,,4320.0,,NVIDIA Tesla K80,NVIDIA Tesla K80,,$307573.50,,Industry,,"Neural Machine Translation (NMT) is an end-to-end learning approach for automated translation, with the potential to overcome many of the weaknesses of conventional phrase-based translation systems. Unfortunately, NMT systems are known to be computationally expensive both in training and in translation inference. Also, most NMT systems have difficulty with rare words. These issues have hindered NMT's use in practical deployments and services, where both accuracy and speed are essential. In this work, we present GNMT, Google's Neural Machine Translation system, which attempts to address many of these issues. Our model consists of a deep LSTM network with 8 encoder and 8 decoder layers using attention and residual connections. To improve parallelism and therefore decrease training time, our attention mechanism connects the bottom layer of the decoder to the top layer of the encoder. To accelerate the final translation speed, we employ low-precision arithmetic during inference computations. To improve handling of rare words, we divide words into a limited set of common sub-word units (""wordpieces"") for both input and output. This method provides a good balance between the flexibility of ""character""-delimited models and the efficiency of ""word""-delimited models, naturally handles translation of rare words, and ultimately improves the overall accuracy of the system. Our beam search technique employs a length-normalization procedure and uses a coverage penalty, which encourages generation of an output sentence that is most likely to cover all the words in the source sentence. On the WMT'14 English-to-French and English-to-German benchmarks, GNMT achieves competitive results to state-of-the-art. Using a human side-by-side evaluation on a set of isolated simple sentences, it reduces translation errors by an average of 60% compared to Google's phrase-based production system.",2023-12-05 04:33,Robi Rahman,,,Multinational,Google,,,,GNMT,96,,GNMT
Pointer Sentinel-LSTM (medium),Language,,"Stephen Merity, Caiming Xiong, James Bradbury, Richard Socher",SOTA Improvement,"""Our pointer sentinel-LSTM model achieves state of the art language modeling performance on the Penn Treebank (70.9 perplexity) while using far fewer parameters than a standard softmax LSTM""",,https://arxiv.org/abs/1609.07843,1646.00,Pointer Sentinel Mixture Models,2016-09-26,"MetaMind Inc,Salesforce",,21000000.00,,7490000000000000.00,,Penn TreeBank,,,,64.00,,,,,,,,,,,,,2023-12-05 04:33,Robi Rahman,Pointer Sentinel-LSTM (medium),,"United States of America,United States of America","MetaMind Inc, Salesforce",,,,Pointer Sentinel-LSTM (medium),,,
Zoneout + Variational LSTM (WT2),Language,,"Stephen Merity, Caiming Xiong, James Bradbury, Richard Socher",Highly cited,,,https://arxiv.org/abs/1609.07843,1646.00,Pointer Sentinel Mixture Models,2016-09-26,"MetaMind Inc,Salesforce",,21000000.00,,16800000000000000.00,,WikiText-2,,,,64.00,,,,,,,,,,,,,2023-12-05 04:33,Robi Rahman,Zoneout + Variational LSTM (WT2),,"United States of America,United States of America","MetaMind Inc, Salesforce",,,,Zoneout + Variational LSTM (WT2),,,
Byte-mLSTM+emb+WN+VD,Language,,"Ben Krause, Liang Lu, Iain Murray, Steve Renals",,,,https://arxiv.org/pdf/1609.07959,216.00,Multiplicative LSTM for sequence modelling,2016-09-26,,,46000000.00,,,,,,,,,,,,,,,,,,,,,2023-11-21 01:39,Robi Rahman,Byte-mLSTM+emb+WN+VD,,,,,,,,,,
Zoneout + Variational LSTM (PTB),Language,,,,,,,,,2016-09-26,,,,,,,,,,,64.00,,,,,,,,,,,Unverified,,2023-12-08 01:00,Robi Rahman,Zoneout + Variational LSTM (PTB),1,,,,,,,,,
Pointer Sentinel-LSTM,Language,,,,,,,,,2016-09-26,,,,,,,,,,,64.00,,,,,,,,,,,Unverified,,2023-12-08 01:01,Robi Rahman,Pointer Sentinel-LSTM,1,,,,,,,,,
