,System,Domain,Task,Open-source,Reference,Publication date,Organization,Parameters,Training compute (FLOP),Training dataset size (datapoints),Epochs,Training time (hours),Training hardware,Country (from Organization),Base model,Finetune compute (FLOP),Hardware quantity,Hardware utilization,Training cloud compute vendor,Training data center,Training time (chip hours),Cost,Cost (inflation-adjusted),Foundation model?
101,BigGAN-deep 512x512,Image generation,Image generation,Permissive license,Large Scale GAN Training for High Fidelity Natural Image Synthesis,2018-09-28 00:00:00,"Heriot-Watt University,DeepMind",112694781.0,3.00000000001e+21,292000000.0,,48.0,Google TPU v3,"United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland",,,256.0,,,,12288.0,24576.0,26473.13375565611,False
102,Transformer (Adaptive Input Embeddings),Language,,,Adaptive Input Representations for Neural Language Modeling,2018-09-28 00:00:00,Facebook AI Research,247000000.0,7.3e+19,,180.0,67.0,NVIDIA V100,Multinational,,,,,,,,,,False
103,Transformer + Simple Recurrent Unit,Language,Translation,,Simple Recurrent Units for Highly Parallelizable Recurrence,2018-09-17 00:00:00,"ASAPP,Cornell University,Google,Princeton University",90000000.0,1.1e+19,,40.0,84.0,NVIDIA V100,"United States of America,United States of America,Multinational,United States of America",,,,,,,,,,False
104,FTW,Games,Capture the flag,,Human-level performance in first-person multiplayer games with population-based deep reinforcement learning,2018-07-03 00:00:00,DeepMind,126001330.0,7.26e+21,,,,,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,False
105,Population-based DRL,Games,Capture the flag,,Human-level performance in first-person multiplayer games with population-based deep reinforcement learning,2018-07-03 00:00:00,DeepMind,122000000.0,3.49e+19,,,,,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,False
106,GPT,Language,,,Improving Language Understanding by Generative Pre-Training,2018-06-01 00:00:00,OpenAI,117000000.0,1.7578125e+19,1000000000.0,,,,United States of America,,,,,,,,,,False
107,ResNeXt-101 32x48d,Vision,Image classification,,Exploring the Limits of Weakly Supervised Pretraining,2018-05-02 00:00:00,Facebook,829000000.0,8.74395e+21,9525000000.0,,,,Multinational,,,336.0,,,,,,,False
108,YOLOv3,Vision,Object detection,,YOLOv3: An Incremental Improvement,2018-04-08 00:00:00,University of Washington,56933216.0,5.093919991999999e+19,1281167.0,,,"NVIDIA M40,NVIDIA GTX Titan X",United States of America,,,,,,,,,,False
109,"LSTM (Hebbian, Cache, MbPA)",Language,,,Fast Parametric Learning with Activation Memorization,2018-03-27 00:00:00,"DeepMind,University College London (UCL)",45200000.0,2.4e+19,,90.0,,,"United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland",,,,,,,,,,False
110,AmoebaNet-A (F=448),Vision,Image classification,,Regularized Evolution for Image Classifier Architecture Search,2018-02-05 00:00:00,Google Brain,469000000.0,3.85296912e+20,1280000.0,,168.0,NVIDIA Tesla K40s,Multinational,,,450.0,,,,75600.0,,,False
111,IMPALA,Games,Atari,,IMPALA: Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures,2018-02-05 00:00:00,DeepMind,1600000.0,1.68e+20,240000000000.0,,100.0,NVIDIA P100,United Kingdom of Great Britain and Northern Ireland,,,1.0,,,,100.0,128.0,138.13091568449684,False
112,AlphaZero,Games,,,Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,2017-12-05 00:00:00,DeepMind,,3.667927300468287e+22,700000.0,,,Google TPU v2,United Kingdom of Great Britain and Northern Ireland,,,64.0,,,,,,,False
113,PNASNet-5,Vision,Image classification,,Progressive Neural Architecture Search,2017-12-02 00:00:00,"Johns Hopkins University,Google AI,Stanford University",,6.629040000000001e+19,1280000.0,,,,"United States of America,Multinational,United States of America",,,,,,,,,,False
114,AlphaGo Zero,Games,Go,,Mastering the game of Go without human knowledge,2017-10-18 00:00:00,DeepMind,46400244.0,3.41e+23,5800000000.0,,480.0,Google TPU v1,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,False
115,OpenAI TI7 DOTA 1v1,Games,DOTA,,Dota 2,2017-08-11 00:00:00,OpenAI,,6.046095222592002e+20,,,,,United States of America,,,,,,,,,,False
116,JFT,Vision,"Image classification,Object detection,Semantic segmentation,Pose estimation",,Revisiting Unreasonable Effectiveness of Data in Deep Learning Era.,2017-07-10 00:00:00,"Google Research,Carnegie Mellon University (CMU)",,8.43e+20,300000000.0,,1440.0,NVIDIA Tesla K80,"Multinational,United States of America",,,50.0,,,,72000.0,30960.0,33440.7332123412,False
117,Transformer,Language,Translation,,Attention Is All You Need,2017-06-12 00:00:00,"Google Research,Google Brain",213000000.0,7.4245248e+18,360000000.0,,,NVIDIA P100,"Multinational,Multinational",,,,,,,,,,False
118,MoE,Language,"Language modelling,Translation",,Outrageously Large Neural Networks: The Sparsely-Gated Mixture-of-Experts Layer,2017-01-23 00:00:00,"Jagiellonian University,Google Brain",8700000000.0,9.393905664e+19,100000000000.0,,,NVIDIA Tesla K40t,"Poland,Multinational",,,,,,,,,,False
119,DeepStack,Games,Poker,,DeepStack: Expert-Level Artificial Intelligence in No-Limit Poker,2017-01-06 00:00:00,"University of Alberta,Charles University,Czech Technical University",2500000.0,1.446336e+19,10000000.0,,,,"Canada,Czechia,Czechia",,,,,,,,,,False
120,Libratus,Games,Poker,,Libratus: The Superhuman AI for No-Limit Poker,2017-01-01 00:00:00,Carnegie Mellon University (CMU),,5.51e+20,,,,,United States of America,,,,,,,,,,False
121,AlphaGo Master,Games,Go,,Mastering the game of Go without human knowledge,2017-01-01 00:00:00,DeepMind,,1.5e+23,,,,Google TPU v1,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,False
122,PolyNet,Vision,Image classification,,PolyNet: A Pursuit of Structural Diversity in Very Deep Networks,2016-11-17 00:00:00,Chinese University of Hong Kong,92000000.0,6.4e+19,1280000.0,,,,Hong Kong,,,,,,,,,,False
123,NASv3 (CIFAR-10),Vision,,,Neural Architecture Search with Reinforcement Learning,2016-11-05 00:00:00,Google Brain,37400000.0,2.2e+21,,,,,Multinational,,,800.0,,,,,,,False
124,Xception,Vision,Image classification,,Xception: Deep Learning with Depthwise Separable Convolutions,2016-10-07 00:00:00,Google,22855952.0,4.362336e+19,350000000.0,,,NVIDIA Tesla K80,Multinational,,,,,,,,,,False
125,GNMT,Language,Translation,,Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation,2016-09-26 00:00:00,Google,278000000.0,6.899999999999999e+21,360000000.0,,4320.0,NVIDIA Tesla K80,Multinational,,,96.0,,,,414720.0,178329.6,194739.1953027523,False
126,AlphaGo Lee,Games,Go,,Mastering the game of Go with deep neural networks and tree search,2016-01-27 00:00:00,DeepMind,,1.9e+21,29400000.0,,,,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,False
127,ResNet-152 (ImageNet),Vision,Image classification,,Deep Residual Learning for Image Recognition,2015-12-10 00:00:00,Microsoft,60000000.0,1.21e+19,1280000.0,,,,Multinational,,,,,,,,,,False
128,DeepSpeech2 (English),Speech,Speech recognition,,Deep Speech 2: End-to-End Speech Recognition in English and Mandarin,2015-12-08 00:00:00,Baidu Research - Silicon Valley AI Lab,38000000.0,2.6e+19,163339200.0,,,"NVIDIA GTX Titan X,NVIDIA Quadro K1200",United States of America,,,,,,,,,,False
129,AlphaGo Fan,Games,Go,,Mastering the game of Go with deep neural networks and tree search,2015-10-01 00:00:00,Google DeepMind,8209984.0,3.8000000000000007e+20,,,,,Multinational,,,,,,,,,,False
130,ProtT5-XXL-BFD,Biology,"Proteins,general-purpose protein or nucleotide language model (pLM/nLM)",Weights available,ProtTrans:Towards Cracking the Language of Life's Code Through Self-Supervised Learning,2021-05-04 00:00:00,,11000000000.0,3.7e+22,,,,,,,,,,,,,,,False
131,ProtBERT-BFD,Biology,"Proteins,general-purpose protein or nucleotide language model (pLM/nLM)",Weights available,ProtTrans:Towards Cracking the Language of Life's Code Through Self-Supervised Learning,2021-05-04 00:00:00,"Technical University of Munich,NVIDIA,Seoul National University,Google,Oak Ridge National Laboratory",420000000.0,3.9e+22,,,,,"Germany,United States of America,Korea (Republic of),Multinational,United States of America",,,,,,,,,,False
132,Understanding Back-Translation at Scale,Language,Translation,,Understanding Back-Translation at Scale,2018-08-28 00:00:00,"Facebook AI Research,Google Brain",,1.080843264e+20,3390000000.0,,27.7,NVIDIA V100,"Multinational,Multinational",,,128.0,,,,3545.6,4112.896,4434.402272463768,False
133,BIDAF,Language,Question answering,Fully open-source,Bidirectional Attention Flow for Machine Comprehension,2016-11-05 00:00:00,"University of Washington,Allen Institute for AI",2600000.0,3.4686144e+18,47160000.0,8.0,60.0,NVIDIA GTX Titan X,"United States of America,United States of America",,,8.0,,,,480.0,,,False
134,Pangu-Weather,Earth science,Weather prediction,,Accurate medium-range global weather forecasting with 3D neural networks,2023-07-05 00:00:00,Huawei,256000000.0,3.98e+22,,100.0,,NVIDIA V100,China,,,192.0,,,,,,,False
135,XGLM-7.5B,Language,"Translation,Question answering,Language modelling/generation",Fully open-source,Few-shot Learning with Multilingual Language Models,2021-12-20 00:00:00,Meta AI,7500000000.0,4.347592704e+22,565367040000.0,1.0,504.0,NVIDIA A100,Multinational,,,256.0,,,,129024.0,175472.64,181077.0060444229,False
136,SciBERT,Language,"Relation extraction,Sentiment classification,Text classification",Fully open-source,SciBERT: A Pretrained Language Model for Scientific Text,2019-03-26 00:00:00,Allen Institute for AI,110000000.0,8.926848e+19,2475000000.0,,168.0,Google TPU v3,United States of America,,,4.0,,,,672.0,1344.0,1451.6907441016335,False
137,CogVLM,"Multimodal,Vision,Language","Image captioning,Visual question answering,Chat",Permissive license,CogVLM: Visual Expert for Pretrained Language Models,2023-11-06 00:00:00,"Tsinghua University,Zhipu AI,Beihang University",17000000000.0,1.988064e+22,,,,,"China,China,China",,,,,,,,,,True
